
These predictions were generated by FAST (v7.02.00d-bjj, 20-Feb-2013) on 29-Jan-2014 at 15:50:02.
The aerodynamic calculations were made by AeroDyn (v13.00.02a-bjj, 20-Feb-2013).

 NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

Time	WindVzi	WindVyi	WindVxi	IPDefl1	OoPDefl1	TwstDefl1	BldPitch1	TeetDefl	GenSpeed	RotSpeed	Azimuth	PtfmRDyi	TTDspTwst	PtfmTDxi	PtfmRDxi	TTDspSS	TTDspFA	PtfmTDyi	WaveElev	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(deg)	(deg)	INVALID	(rpm)	(rpm)	(deg)	(deg)	(deg)	(m)	(deg)	(m)	(m)	(m)	INVALID	(kW)	(kN·m)
  30.000	 1.270E+00	-7.051E-03	 2.020E+01	-1.283E+00	 1.863E+00	 0.000E+00	 1.593E+01	 0.000E+00	 1.156E+03	 1.191E+01	 9.212E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-9.119E-02	 2.427E-01	 0.000E+00	 0.000E+00	 5.014E+03	 4.389E+01
  30.013	 1.300E+00	 5.618E-02	 2.012E+01	-1.274E+00	 1.860E+00	 0.000E+00	 1.593E+01	 0.000E+00	 1.156E+03	 1.192E+01	 9.301E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-9.040E-02	 2.424E-01	 0.000E+00	 0.000E+00	 5.016E+03	 4.389E+01
  30.025	 1.330E+00	 1.189E-01	 2.003E+01	-1.264E+00	 1.858E+00	 0.000E+00	 1.593E+01	 0.000E+00	 1.156E+03	 1.192E+01	 9.391E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-8.959E-02	 2.422E-01	 0.000E+00	 0.000E+00	 5.018E+03	 4.389E+01
  30.038	 1.360E+00	 1.811E-01	 1.995E+01	-1.256E+00	 1.856E+00	 0.000E+00	 1.593E+01	 0.000E+00	 1.157E+03	 1.192E+01	 9.480E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-8.878E-02	 2.420E-01	 0.000E+00	 0.000E+00	 5.019E+03	 4.389E+01
  30.050	 1.390E+00	 2.428E-01	 1.987E+01	-1.248E+00	 1.855E+00	 0.000E+00	 1.593E+01	 0.000E+00	 1.157E+03	 1.192E+01	 9.569E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-8.795E-02	 2.418E-01	 0.000E+00	 0.000E+00	 5.021E+03	 4.388E+01
  30.062	 1.347E+00	 3.563E-01	 1.986E+01	-1.240E+00	 1.855E+00	 0.000E+00	 1.592E+01	 0.000E+00	 1.158E+03	 1.192E+01	 9.659E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-8.712E-02	 2.416E-01	 0.000E+00	 0.000E+00	 5.022E+03	 4.388E+01
  30.075	 1.305E+00	 4.698E-01	 1.986E+01	-1.233E+00	 1.855E+00	 0.000E+00	 1.592E+01	 0.000E+00	 1.158E+03	 1.192E+01	 9.748E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-8.628E-02	 2.415E-01	 0.000E+00	 0.000E+00	 5.023E+03	 4.388E+01
  30.087	 1.263E+00	 5.832E-01	 1.985E+01	-1.226E+00	 1.855E+00	 0.000E+00	 1.592E+01	 0.000E+00	 1.158E+03	 1.192E+01	 9.838E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-8.542E-02	 2.414E-01	 0.000E+00	 0.000E+00	 5.024E+03	 4.387E+01
  30.100	 1.220E+00	 6.966E-01	 1.985E+01	-1.219E+00	 1.856E+00	 0.000E+00	 1.592E+01	 0.000E+00	 1.159E+03	 1.193E+01	 9.927E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-8.456E-02	 2.414E-01	 0.000E+00	 0.000E+00	 5.025E+03	 4.387E+01
